DATE,DESTINATION,PAX,AMOUNT,TOTAL,AGENCY
01/01/2023,PPC-EN,2,500,1000,CORAZON TRAVEL AND TOURS
01/01/2023,ANITSA-BAYVIEW,2,PRIVATE,1000,BAYVIEW
01/01/2023,EN-PPC,3,500,1500,FRENDZ
01/01/2023,VINCENT,12,450,4900,PASAKAY NI VINCENT
01/01/2023,ROB-TAYTAY,1,450,450,GFS TRAVELISTA
01/01/2023,EN-PPC,2,500,1000,MILAN
01/01/2023,PPC-PRIVATE,4,4500,8305,BOGS
01/01/2023,PPC-JOINER,12,4900,5900,ARMAN
01/01/2023,EN-PRIVATE,2,5000,,ARMAN
01/01/2023,DALUYON-JETTY LIO,2,PRIVATE,8500,CORAZON TRAVEL AND TOURS
01/01/2023,PPC-EN,2,500,1000,MILAN
01/01/2023,EN-PPC,2,500,1000,MILAN
01/01/2023,PPC-EN,3,500,1500,BAYVIEW
01/01/2023,EN-PPC,4,500,2000,FRENDZ
01/01/2023,VINCENT,1,450,450,PASAKAY NI VINCENT
01/01/2023,PPC-EN,12,PRIVATE,5000,MILAN
01/01/2023,EN-PRIVATE,11,5300,,BOGS
01/01/2023,PPC-JOINER,8,3850,6855,BOGS
01/01/2023,PPC-PRIVATE,12,5000,5550,ARMAN
01/01/2023,EN-PPC,1,500,500,FRENDZ
